URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/2023/04/08/world/middleeast/rockets-lebanon-hamas-hezbollah-israel.html,234,47,text/html
https://www.nytimes.com/1997/03/10/us/rapper-is-shot-to-death-in-echo-of-killing-6-months-ago.html,175,38,text/html
https://www.nytimes.com/es/2023/10/05/espanol/mexico-blinken-amlo.html,213,39,text/html
https://www.nytimes.com/sitemap/1921/08/,80,59,text/html
https://www.nytimes.com/sitemap/2012/08/,80,59,text/html
https://www.nytimes.com/video/science/earth/100000009099467/wild-animals-fear-humans-lions.html,1228,100,text/html
https://www.nytimes.com/2023/10/02/travel/travel-wildfires-climate-change.html,216,48,text/html
https://www.nytimes.com/sitemap/1916/,72,39,text/html
https://www.nytimes.com/sitemap/1896/,72,39,text/html
https://www.nytimes.com/sitemap/1920/,72,39,text/html
https://www.nytimes.com/2023/10/07/realestate/dangerous-dog-in-my-building-what-can-i-do.html,212,37,text/html
https://www.nytimes.com/2023/10/01/world/europe/russia-ukraine-war.html,221,48,text/html
https://www.nytimes.com/sitemap/2016/09/,80,58,text/html
https://www.nytimes.com/section/food,775,87,text/html
https://www.nytimes.com/by/claire-fahy,408,50,text/html
https://www.nytimes.com/2023/10/05/us/politics/cornel-west-independent-presidential-race.html,197,46,text/html
https://www.nytimes.com/sitemap/1879/,72,39,text/html
https://www.nytimes.com/2023/06/05/us/politics/robert-f-kennedy-jr-twitter-2024.html,218,57,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F08%2Fworld%2Fasia%2Fafghanistan-earthquakes.html,1,4,application/json
https://www.nytimes.com/section/style,757,92,text/html
https://www.nytimes.com/2023/10/07/world/europe/russia-nuclear-threat-putin.html,238,42,text/html
https://www.nytimes.com/sitemap/2016/11/,80,58,text/html
https://www.nytimes.com/2023/10/07/world/europe/belgium-nature-preserve-eu-farm-policy.html,279,38,text/html
https://www.nytimes.com/sitemap/1979/,72,39,text/html
https://www.nytimes.com/sitemap/1884/,72,39,text/html
https://www.nytimes.com/2022/11/21/travel/wild-turkeys-mates.html,272,48,text/html
